company,period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income,period_numeric,quarter,quarter_sort_key
DIPD,Q3 2016,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,154138.0,2016.5,Q3,2017.0
DIPD,Q3 2017,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,-21493.0,2017.5,Q3,2018.0
DIPD,Q3 2018,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1.0,2018.5,Q3,2019.0
DIPD,Q3 2019,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,3.0,2019.5,Q3,2020.0
REXP,Q3 2030,320332.0,214060.0,106272.0,-14611.0,120883.0,120883.0,2030.5,Q3,2031.0
REXP,Q3 2030,686189.0,452888.0,233301.0,-49145.0,282446.0,282446.0,2030.5,Q3,2031.0
REXP,Q3 2030,3.0,21.0,-18.0,2.0,-20.0,-20.0,2030.5,Q3,2031.0
REXP,Q3 2030,1330358.0,2.0,1330356.0,-122065.0,1452421.0,1452421.0,2030.5,Q3,2031.0
REXP,Q3 2030,261870.0,204612.0,57258.0,-12188.0,34382.0,25355.0,2030.5,Q3,2031.0
REXP,Q3 2030,693255.0,525478.0,167777.0,-38446.0,111015.0,91131.0,2030.5,Q3,2031.0
REXP,Q3 2030,279350.0,207512.0,71838.0,-13928.0,85766.0,85766.0,2030.5,Q3,2031.0
REXP,Q3 2030,691496.0,510768.0,180728.0,-43196.0,223924.0,223924.0,2030.5,Q3,2031.0
REXP,Q3 2030,8.0,3.0,5.0,1.0,4.0,4.0,2030.5,Q3,2031.0
REXP,Q3 2030,3.0,214060.0,-214057.0,-11696.0,-202361.0,-202361.0,2030.5,Q3,2031.0
REXP,Q3 2030,1073051.0,736797.0,336254.0,-84138.0,420392.0,420392.0,2030.5,Q3,2031.0
REXP,Q3 2030,2.0,201168.0,-201166.0,-11273.0,-189893.0,-189893.0,2030.5,Q3,2031.0
REXP,Q3 2030,1754079.0,1155680.0,598399.0,-138353.0,736752.0,736752.0,2030.5,Q3,2031.0
REXP,Q3 2030,6.0,245251.0,-245245.0,3.0,-245248.0,-245248.0,2030.5,Q3,2031.0
REXP,Q3 2030,2139733.0,3.0,2139730.0,74.0,2139656.0,1.0,2030.5,Q3,2031.0
REXP,Q3 2030,6.0,34.0,-28.0,5.0,-33.0,-33.0,2030.5,Q3,2031.0
REXP,Q3 2030,2069984.0,16.0,4.0,-202073.0,202077.0,1.0,2030.5,Q3,2031.0
REXP,Q3 2030,4.0,754591.0,-754587.0,5.0,-754592.0,-754592.0,2030.5,Q3,2031.0
REXP,Q3 2030,4.0,21.0,-17.0,-31.0,14.0,14.0,2030.5,Q3,2031.0
REXP,Q3 2030,1530361.0,17.0,1530344.0,-100600.0,1630944.0,1630944.0,2030.5,Q3,2031.0
REXP,Q3 2030,3.0,17.0,-14.0,1.0,-15.0,-15.0,2030.5,Q3,2031.0
REXP,Q3 2030,1655885.0,3.0,1655882.0,-100600.0,1756482.0,1756482.0,2030.5,Q3,2031.0
REXP,Q3 2030,1.0,723750.0,-723749.0,-57008.0,-666741.0,-666741.0,2030.5,Q3,2031.0
REXP,Q3 2030,3.0,4.0,-1.0,-14482.0,14481.0,14481.0,2030.5,Q3,2031.0
REXP,Q3 2030,2661097.0,71.0,2661026.0,42.0,2660984.0,2660984.0,2030.5,Q3,2031.0
REXP,Q3 2030,1.0,8.0,-7.0,302.0,-309.0,-309.0,2030.5,Q3,2031.0
