company,filename,page,period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income
DIPD,670_1336993801.pdf,3,2023,19786485.0,16344798.0,3441687.0,-1568996.0,5010683.0,5010683.0
DIPD,670_1336993801.pdf,4,2023,1798644.0,1449966.0,348678.0,-285052.0,633730.0,633730.0
DIPD,670_1343902578685.pdf,3,2023,19786485.0,16344798.0,3441687.0,-1568983.0,5010670.0,5010670.0
DIPD,670_1351681183.pdf,3,2023,10852928.310344828,16344798.0,3.0,-1568983.0,1568986.0,1568986.0
DIPD,670_1351681183.pdf,4,2023,1798644.0,737744.0,348678.0,-285052.0,633730.0,1345952.0
DIPD,670_1360143525.pdf,3,2023,19786485.0,16344798.0,3441687.0,-1568983.0,5010670.0,5010670.0
DIPD,670_1360143525.pdf,4,2023,10852928.310344828,1449966.0,3.0,-285052.0,285055.0,285055.0
DIPD,670_1368615065525.pdf,9,2012,19786485.0,149532.0,19636953.0,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1375242887055.pdf,3,2023,23657743.0,1524208.0,4577812.0,-304665.0,4882477.0,22438200.0
DIPD,670_1375242887055.pdf,5,2023,699054.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1375242887055.pdf,10,2012,10852928.310344828,4512723.0,9.0,-423444.0,423453.0,423453.0
DIPD,670_1375242887055.pdf,13,2023,52.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1383043196791.pdf,3,2023,10852928.310344828,19079931.0,4577812.0,-1777854.0,6355666.0,6355666.0
DIPD,670_1383043196791.pdf,4,2023,2.0,1524208.0,494502.0,17.0,494485.0,-1524223.0
DIPD,670_1383043196791.pdf,7,2013,699054.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1383043196791.pdf,12,2012,1.0,19563.0,2177485.0,-863119.0,3040604.0,843557.0
DIPD,670_1383043196791.pdf,13,2012,1008076.0,1288.0,270332.0,-156201.0,426533.0,1162989.0
DIPD,670_1383043196791.pdf,16,2023,54.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1391424199.pdf,3,2023,10852928.310344828,19079931.0,4577812.0,-1777854.0,6355666.0,6355666.0
DIPD,670_1391424199.pdf,4,2023,10852928.310344828,26.0,494502.0,30.0,494472.0,494472.0
DIPD,670_1391424199.pdf,7,2023,699054.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1391424199.pdf,12,2012,17375827.0,37410.0,3339498.0,-1291103.0,4630601.0,18629520.0
DIPD,670_1391424199.pdf,13,2012,1507110.0,1886.0,393411.0,-234694.0,628105.0,1739918.0
