company,period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income,period_numeric,quarter,quarter_sort_key
DIPD,Q4 2016,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,75268.0,2016.75,Q4,2017.5
DIPD,Q4 2017,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,85251.0,2017.75,Q4,2018.5
DIPD,Q4 2018,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,2.0,2018.75,Q4,2019.5
DIPD,Q4 2019,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,7.0,2019.75,Q4,2020.5
REXP,Q4 2031,2.0,16.0,-14.0,-10759.0,10745.0,10745.0,2031.75,Q4,2032.5
REXP,Q4 2031,725050.0,495360.0,229690.0,-55716.0,285406.0,285406.0,2031.75,Q4,2032.5
REXP,Q4 2031,2.0,167436.0,-167434.0,-10223.0,-157211.0,-157211.0,2031.75,Q4,2032.5
REXP,Q4 2031,933769.0,616319.0,317450.0,5.0,317445.0,317445.0,2031.75,Q4,2032.5
REXP,Q4 2031,588666.0,414212.0,174454.0,-44560.0,219014.0,219014.0,2031.75,Q4,2032.5
REXP,Q4 2031,191892.0,144507.0,47385.0,-10759.0,58144.0,58144.0,2031.75,Q4,2032.5
REXP,Q4 2031,5.0,418900.0,-418895.0,-40071.0,-378824.0,-378824.0,2031.75,Q4,2032.5
REXP,Q4 2031,171479.0,1.0,171478.0,-10699.0,182177.0,182177.0,2031.75,Q4,2032.5
REXP,Q4 2031,179823.0,147262.0,32561.0,-9333.0,41894.0,41894.0,2031.75,Q4,2032.5
REXP,Q4 2031,522442.0,419730.0,102712.0,-30022.0,132734.0,132734.0,2031.75,Q4,2032.5
REXP,Q4 2031,1941892.0,4.0,1941888.0,-286275.0,2228163.0,7.0,2031.75,Q4,2032.5
REXP,Q4 2031,5.0,392030.0,-392025.0,4.0,-392029.0,-392029.0,2031.75,Q4,2032.5
REXP,Q4 2031,2089873.0,1.0,2089872.0,-239643.0,2329515.0,7.0,2031.75,Q4,2032.5
REXP,Q4 2031,5.0,413390.0,-413385.0,4.0,-413389.0,-413389.0,2031.75,Q4,2032.5
REXP,Q4 2031,522708.0,372274.0,150434.0,9.0,150425.0,150425.0,2031.75,Q4,2032.5
REXP,Q4 2031,1909048.0,1487153.0,421895.0,-308958.0,730853.0,730853.0,2031.75,Q4,2032.5
REXP,Q4 2031,1778416.0,23.0,1778393.0,-135254.0,1913647.0,1913647.0,2031.75,Q4,2032.5
REXP,Q4 2031,6.0,193747.0,-193741.0,-10907.0,-182834.0,-182834.0,2031.75,Q4,2032.5
REXP,Q4 2031,2.0,4.0,-2.0,-7044.0,7042.0,7042.0,2031.75,Q4,2032.5
REXP,Q4 2031,1426063.0,8.0,1426055.0,-128378.0,1554433.0,1554433.0,2031.75,Q4,2032.5
REXP,Q4 2031,1341932.0,1.0,1341931.0,-96844.0,1438775.0,1438775.0,2031.75,Q4,2032.5
REXP,Q4 2031,275198.0,188895.0,86303.0,-12747.0,99050.0,99050.0,2031.75,Q4,2032.5
REXP,Q4 2031,288425.0,193747.0,94678.0,1.0,94677.0,94677.0,2031.75,Q4,2032.5
REXP,Q4 2031,1486022.0,1.0,1486021.0,-96637.0,1582658.0,1582658.0,2031.75,Q4,2032.5
REXP,Q4 2031,1140362.0,616319.0,524043.0,13.0,524030.0,524030.0,2031.75,Q4,2032.5
REXP,Q4 2031,253225.0,2.0,253223.0,-8920.0,262143.0,262143.0,2031.75,Q4,2032.5
