filename,page,period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income
771_1392283147784.pdf,3,2013,171479.0,1.0,171478.0,-10699.0,182177.0,182177.0
771_1392283147784.pdf,6,2013,,,,,,
771_1392283147784.pdf,10,2012,7.0,,,,,
771_1392283147784.pdf,11,2012,3.0,,,,,
771_1392283147784.pdf,12,2012,1.0,4.0,-3.0,,,
771_1392283147784.pdf,13,2011,,,,,,
771_1401444598724.pdf,2,2014,5.0,372865.0,-372860.0,-29783.0,-343077.0,-343077.0
771_1401444598724.pdf,3,2014,2.0,,,,,2.0
771_1401444598724.pdf,6,2014,,,,,,
771_1407921977128.pdf,2,,6.0,460266.0,-460260.0,-40703.0,-419557.0,-419557.0
771_1407921977128.pdf,3,,2.0,185748.0,-185746.0,-10925.0,-174821.0,-174821.0
771_1407921977128.pdf,6,2013,,,,,,
771_1415876387806.pdf,2,2014,686189.0,452888.0,233301.0,-49145.0,282446.0,282446.0
771_1415876387806.pdf,3,2014,320332.0,214060.0,106272.0,-14611.0,120883.0,120883.0
771_1415876387806.pdf,6,2013,,,,,,
771_1415876387806.pdf,7,,,,,,,
771_1423820579922.pdf,2,2014,588666.0,414212.0,174454.0,-44560.0,219014.0,219014.0
771_1423820579922.pdf,3,2014,191892.0,144507.0,47385.0,-10759.0,58144.0,58144.0
771_1423820579922.pdf,6,2013,,,,,,
771_1423820579922.pdf,7,,,,,,,
771_1432893944370.pdf,2,2015,5.0,372865.0,-372860.0,-29783.0,-343077.0,-343077.0
771_1432893944370.pdf,3,2015,233938.0,166220.0,67718.0,-3742.0,71460.0,71460.0
771_1432893944370.pdf,6,,,,,,,
771_1432893944370.pdf,7,2013,,,,,,
771_1439544745043.pdf,2,,745511.0,501001.0,244510.0,-48255.0,292765.0,292765.0
771_1439544745043.pdf,3,,321828.0,216646.0,105182.0,-12470.0,117652.0,117652.0
771_1439544745043.pdf,6,,,,,,,
771_1439544745043.pdf,7,2014,,,,,,
771_1447235343844.pdf,2,2015,8.0,3.0,5.0,1.0,4.0,4.0
771_1447235343844.pdf,3,2015,3.0,214060.0,-214057.0,-11696.0,-202361.0,-202361.0
771_1447235343844.pdf,6,2014,,,,,,
771_1447235343844.pdf,7,,,,,,,
771_1455275141037.pdf,2,2015,725050.0,495360.0,229690.0,-55716.0,285406.0,285406.0
771_1455275141037.pdf,3,2015,2.0,16.0,-14.0,-10759.0,10745.0,10745.0
771_1455275141037.pdf,6,2014,,,,,,
771_1455275141037.pdf,7,,,,,,,
771_1464349470713.pdf,2,2016,723627.0,494081.0,229546.0,-49581.0,279127.0,279127.0
771_1464349470713.pdf,3,2016,2.0,0.0,2.0,-3742.0,3744.0,3744.0
771_1464349470713.pdf,6,2014,,,,,,
771_1464349470713.pdf,7,,,,,,,
771_1470995967550.pdf,2,,878450.0,576800.0,301650.0,-60169.0,361819.0,361819.0
771_1470995967550.pdf,3,,336398.0,217977.0,118421.0,-29.0,118450.0,118450.0
771_1470995967550.pdf,6,,,,,,,
771_1470995967550.pdf,7,2015,,,,,,
771_1478771451751.pdf,2,2016,1.0,723750.0,-723749.0,-57008.0,-666741.0,-666741.0
771_1478771451751.pdf,3,2016,3.0,4.0,-1.0,-14482.0,14481.0,14481.0
771_1478771451751.pdf,6,,,,,,,
771_1478771451751.pdf,7,2015,,,,,,
771_1487065755.pdf,2,2016,933769.0,616319.0,317450.0,5.0,317445.0,317445.0
771_1487065755.pdf,3,2016,2.0,167436.0,-167434.0,-10223.0,-157211.0,-157211.0
771_1487065755.pdf,6,,,,,,,
771_1487065755.pdf,7,2015,,,,,,
771_1496144616.pdf,2,2017,9.0,614361.0,-614352.0,-64855.0,-549497.0,-549497.0
771_1496144616.pdf,3,2017,2.0,170432.0,-170430.0,-2382.0,-168048.0,-168048.0
771_1496144616.pdf,6,2015,,,,,,
771_1496144616.pdf,7,,,,,,,
771_1502358762590.pdf,2,,1063039.0,689054.0,373985.0,-98720.0,472705.0,472705.0
771_1502358762590.pdf,3,,2.0,217977.0,-217975.0,-12879.0,-205096.0,-205096.0
771_1502358762590.pdf,6,,,,,,,
771_1502358762590.pdf,7,2016,,,,,,
771_1510568122040.pdf,2,2017,1073051.0,736797.0,336254.0,-84138.0,420392.0,420392.0
771_1510568122040.pdf,3,2017,2.0,201168.0,-201166.0,-11273.0,-189893.0,-189893.0
771_1510568122040.pdf,6,,,,,,,
771_1510568122040.pdf,7,2016,,,,,,
771_1518428508196.pdf,2,2017,1140362.0,616319.0,524043.0,13.0,524030.0,524030.0
771_1518428508196.pdf,3,2017,253225.0,2.0,253223.0,-8920.0,262143.0,262143.0
771_1518428508196.pdf,6,,,,,,,
771_1518428508196.pdf,7,2016,,,,,,
771_1527766286271.pdf,4,2018,995275.0,13.0,995262.0,-64855.0,1060117.0,1060117.0
771_1527766286271.pdf,5,2018,264896.0,1.0,264895.0,-3403.0,268298.0,268298.0
771_1527766286271.pdf,6,,,,,,,
771_1527766286271.pdf,7,2016,,,,,,
771_1534241780359.pdf,4,,1.0,689054.0,-689053.0,-98720.0,-590333.0,-590333.0
771_1534241780359.pdf,5,,337790.0,185103.0,152687.0,6.0,152681.0,152681.0
771_1534241780359.pdf,6,,,,,,,
771_1534241780359.pdf,7,2017,,,,,,
771_1542189664140.pdf,4,2018,1330358.0,2.0,1330356.0,-122065.0,1452421.0,1452421.0
771_1542189664140.pdf,5,2018,3.0,21.0,-18.0,2.0,-20.0,-20.0
771_1542189664140.pdf,6,,,,,,,
771_1542189664140.pdf,7,2017,,,,,,
771_1550138060839.pdf,4,2018,1341932.0,1.0,1341931.0,-96844.0,1438775.0,1438775.0
771_1550138060839.pdf,5,2018,275198.0,188895.0,86303.0,-12747.0,99050.0,99050.0
771_1550138060839.pdf,6,,,,,,,
771_1550138060839.pdf,7,2017,,,,,,
771_1559298478080.pdf,4,,1282622.0,1.0,1282621.0,-75088.0,1357709.0,1357709.0
771_1559298478080.pdf,5,,3.0,186824.0,-186821.0,1959.0,-188780.0,-188780.0
771_1559298478080.pdf,6,2017,,,,,,
771_1559298478080.pdf,7,,,,,,,
771_1565690323856.pdf,4,,1.0,849098.0,-849097.0,-89386.0,-759711.0,-759711.0
771_1565690323856.pdf,5,,366733.0,244042.0,122691.0,-3.0,122694.0,122694.0
771_1565690323856.pdf,6,,,,,,,
771_1565690323856.pdf,7,2018,,,,,,
771_1573638562154.pdf,4,,1530361.0,17.0,1530344.0,-100600.0,1630944.0,1630944.0
771_1573638562154.pdf,5,,4.0,21.0,-17.0,-31.0,14.0,14.0
771_1573638562154.pdf,6,,,,,,,
771_1573638562154.pdf,7,2018,,,,,,
771_1581500882845.pdf,4,,1426063.0,8.0,1426055.0,-128378.0,1554433.0,1554433.0
771_1581500882845.pdf,5,,2.0,4.0,-2.0,-7044.0,7042.0,7042.0
771_1581500882845.pdf,6,,,,,,,
771_1581500882845.pdf,7,2018,,,,,,
771_1597398727480.pdf,4,2020,989411.0,687100.0,302311.0,-114938.0,417249.0,417249.0
771_1597398727480.pdf,5,2020,231850.0,157649.0,74201.0,7419.0,66782.0,66782.0
771_1597398727480.pdf,6,,,,,,,
771_1597398727480.pdf,7,2018,,,,,,
771_1597398890735.xls.pdf,4,,875553.0,608048.0,267505.0,-52059.0,319564.0,319564.0
771_1597398890735.xls.pdf,5,,240969.0,36.0,240933.0,-6857.0,247790.0,247790.0
771_1597398890735.xls.pdf,6,,,,,,,
771_1597398890735.xls.pdf,7,2019,,,,,,
771_1605260669510.pdf,4,2020,1655885.0,3.0,1655882.0,-100600.0,1756482.0,1756482.0
771_1605260669510.pdf,5,2020,3.0,17.0,-14.0,1.0,-15.0,-15.0
771_1605260669510.pdf,6,,,,,,,
771_1605260669510.pdf,7,2019,,,,,,
771_1613037343820.pdf,4,2020,1486022.0,1.0,1486021.0,-96637.0,1582658.0,1582658.0
771_1613037343820.pdf,5,2020,288425.0,193747.0,94678.0,1.0,94677.0,94677.0
771_1613037343820.pdf,6,,,,,,,
771_1613037343820.pdf,7,2019,,,,,,
771_1622454363109.pdf,4,2021,1344850.0,3.0,1344847.0,-110574.0,1455421.0,1455421.0
771_1622454363109.pdf,5,2021,3.0,244462.0,-244459.0,7.0,-244466.0,-244466.0
771_1622454363109.pdf,6,,,,,,,
771_1622454363109.pdf,7,2019,,,,,,
771_1628675183559.pdf,4,,1400300.0,955738.0,444562.0,-52059.0,496621.0,496621.0
771_1628675183559.pdf,5,,4.0,302037.0,-302033.0,-6857.0,-295176.0,-295176.0
771_1628675183559.pdf,6,,,,,,,
771_1628675183559.pdf,7,2020,,,,,,
771_1636714927222.pdf,4,2021,1754079.0,1155680.0,598399.0,-138353.0,736752.0,736752.0
771_1636714927222.pdf,5,2021,6.0,245251.0,-245245.0,3.0,-245248.0,-245248.0
771_1636714927222.pdf,6,,,,,,,
771_1636714927222.pdf,7,2020,,,,,,
