company,period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income,period_numeric,quarter,quarter_sort_key
REXP,Q2 2030,6.0,460266.0,-460260.0,-40703.0,-419557.0,-419557.0,2030.25,Q2,2030.5
REXP,Q2 2030,236675.0,185748.0,50927.0,-10925.0,61852.0,61852.0,2030.25,Q2,2030.5
REXP,Q2 2030,605644.0,476171.0,129473.0,-35432.0,81051.0,60430.0,2030.25,Q2,2030.5
REXP,Q2 2030,2.0,185748.0,-185746.0,-10925.0,-174821.0,-174821.0,2030.25,Q2,2030.5
REXP,Q2 2030,251174.0,202405.0,48769.0,-12807.0,31321.0,20699.0,2030.25,Q2,2030.5
REXP,Q2 2030,336398.0,217977.0,118421.0,-29.0,118450.0,118450.0,2030.25,Q2,2030.5
REXP,Q2 2030,2.0,217977.0,-217975.0,-12879.0,-205096.0,-205096.0,2030.25,Q2,2030.5
REXP,Q2 2030,321828.0,216646.0,105182.0,-12470.0,117652.0,117652.0,2030.25,Q2,2030.5
REXP,Q2 2030,606746.0,460266.0,146480.0,-37387.0,183867.0,183867.0,2030.25,Q2,2030.5
REXP,Q2 2030,745511.0,501001.0,244510.0,-48255.0,292765.0,292765.0,2030.25,Q2,2030.5
REXP,Q2 2030,1063039.0,689054.0,373985.0,-98720.0,472705.0,472705.0,2030.25,Q2,2030.5
REXP,Q2 2030,1.0,689054.0,-689053.0,-98720.0,-590333.0,-590333.0,2030.25,Q2,2030.5
REXP,Q2 2030,366733.0,244042.0,122691.0,-3.0,122694.0,122694.0,2030.25,Q2,2030.5
REXP,Q2 2030,1.0,849098.0,-849097.0,-89386.0,-759711.0,-759711.0,2030.25,Q2,2030.5
REXP,Q2 2030,6.0,416773.0,-416767.0,4.0,-416771.0,-416771.0,2030.25,Q2,2030.5
REXP,Q2 2030,1682540.0,13.0,1682527.0,-162533.0,1845060.0,1845060.0,2030.25,Q2,2030.5
REXP,Q2 2030,1474458.0,1735091.0,-260633.0,-66.0,-260567.0,991673.0,2030.25,Q2,2030.5
REXP,Q2 2030,520111.0,2006241.0,-1486130.0,4.0,-1486134.0,-1486134.0,2030.25,Q2,2030.5
REXP,Q2 2030,9.0,6.0,3.0,-122800.0,122803.0,122803.0,2030.25,Q2,2030.5
REXP,Q2 2030,2767931.0,955738.0,1812193.0,-473936.0,2286129.0,2286129.0,2030.25,Q2,2030.5
REXP,Q2 2030,875553.0,608048.0,267505.0,-52059.0,319564.0,319564.0,2030.25,Q2,2030.5
REXP,Q2 2030,240969.0,36.0,240933.0,-6857.0,247790.0,247790.0,2030.25,Q2,2030.5
REXP,Q2 2030,878450.0,576800.0,301650.0,-60169.0,361819.0,361819.0,2030.25,Q2,2030.5
