company,period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income,period_numeric,quarter,quarter_sort_key
DIPD,FY2000,699054.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,699054.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,9249276.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,9249276.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,9249276.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,9953105.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,9953105.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,9953105.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,2.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,2.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,2.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,9249276.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,9953105.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,8693473.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,8693473.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,8044601.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,8044601.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,8693473.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,8693473.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,6846945.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,8044601.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,6846945.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,8.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,6846945.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,7000544.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,7000544.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,7000544.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,7000544.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,6888098.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,6.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,6271286.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2000,6.0,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1860326.5912698412,2000.0,,2000.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,917734.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,433528.0,2003.0,,2003.0
DIPD,FY2003,1798644.0,1449966.0,348678.0,-285052.0,633730.0,633730.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,6086685.0,2916520.0,-1459515.0,4376035.0,4376035.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,2.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,850293.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,559224.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1223826.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1223826.0,2003.0,,2003.0
DIPD,FY2003,1685401.0,1242316.0,443085.0,-410935.0,854020.0,854020.0,2003.0,,2003.0
DIPD,FY2003,2564913.0,41.0,625167.0,-10.0,625177.0,625177.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,3025141.0,873224.0,-621200.0,1494424.0,327767.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,163332.0,2003.0,,2003.0
DIPD,FY2003,1792509.0,1381449.0,411060.0,-404625.0,815685.0,815685.0,2003.0,,2003.0
DIPD,FY2003,2266036.0,1836512.0,429524.0,-452036.0,881560.0,163332.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,800850.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,5289337.0,1320940.0,-1028196.0,2349136.0,2800420.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,6.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,6689449.0,2695818.0,-1612977.0,4308795.0,4308795.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,850293.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,3054301.0,1003141.0,-562342.0,1565483.0,559224.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,4045930.0,1771216.0,-834264.0,2605480.0,1862902.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,5.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,800850.0,2003.0,,2003.0
DIPD,FY2003,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,327767.0,2003.0,,2003.0
DIPD,FY2006,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,917734.0,2006.0,,2006.0
DIPD,FY2006,1798644.0,737744.0,348678.0,-285052.0,633730.0,633730.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,16344798.0,3.0,-1568983.0,1568986.0,1568986.0,2006.0,,2006.0
DIPD,FY2006,2.0,1524208.0,494502.0,17.0,494485.0,494485.0,2006.0,,2006.0
DIPD,FY2006,2266036.0,1836512.0,429524.0,-452036.0,881560.0,163332.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,163332.0,2006.0,,2006.0
DIPD,FY2006,1685401.0,1242316.0,443085.0,-429976.0,873061.0,138624.0,2006.0,,2006.0
DIPD,FY2006,1792509.0,1381449.0,411060.0,-404625.0,815685.0,356931.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,356931.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,433528.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,1099636.0,424476.0,-191159.0,615635.0,615635.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,800850.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,559224.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,4045930.0,1771216.0,-834264.0,2605480.0,1862902.0,2006.0,,2006.0
DIPD,FY2006,2564913.0,1939746.0,625167.0,-369523.0,994690.0,994690.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,138624.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,3025141.0,873224.0,-621200.0,1494424.0,327767.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1862902.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,3054301.0,1003141.0,-562342.0,1565483.0,559224.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,2800420.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,5289337.0,1320940.0,-1028196.0,2349136.0,2800420.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,6086685.0,2916520.0,-1459515.0,4376035.0,4376035.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1223826.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,850293.0,2006.0,,2006.0
DIPD,FY2006,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,327767.0,2006.0,,2006.0
DIPD,FY2009,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,1223826.0,2009.0,,2009.0
DIPD,FY2009,5006987.004975124,8078373.015306123,2068056.5076923077,-1037812.0358974359,3034352.03626943,850293.0,2009.0,,2009.0
